,name,xP,bps,creativity,ict_index,influence,opponent_team,threat,total_points,was_home
10911,Caleb Watts,0.7,0,0.0,0.0,0.0,9,0.0,0,0
10914,Jack Grealish,6.6,15,34.3,5.3,14.2,12,4.0,2,0
10915,Jack Grealish,6.6,22,44.7,9.3,24.4,14,24.0,6,1
10917,Frederico Rodrigues de Paula Santos,3.5,13,11.4,3.3,21.2,11,0.0,3,0
10918,Frederico Rodrigues de Paula Santos,3.5,18,25.3,6.0,14.6,8,20.0,2,0
10919,Douglas Luiz Soares de Paulo,3.8,8,0.8,4.4,19.6,12,24.0,2,0
10920,Douglas Luiz Soares de Paulo,3.8,4,14.7,2.0,0.6,14,5.0,3,1
10921,Neeskens Kebano,-1.6,0,0.0,0.0,0.0,5,0.0,0,1
10922,Neeskens Kebano,-1.6,0,0.0,0.0,0.0,13,0.0,0,1
10925,Oriol Romeu Vidal,0.2,0,0.0,0.0,0.0,9,0.0,0,0
10926,Mateusz Bogusz,0.0,0,0.0,0.0,0.0,3,0.0,0,1
10933,Harvey Elliott,0.0,0,0.0,0.0,0.0,13,0.0,0,1
10934,Harvey Elliott,0.0,0,0.0,0.0,0.0,4,0.0,0,1
10935,Nemanja Matic,2.2,0,0.0,0.0,0.0,11,0.0,0,0
10936,Nemanja Matic,2.2,4,0.0,0.2,2.0,8,0.0,1,0
10947,Kai Havertz,3.8,0,0.0,0.0,0.0,8,0.0,0,0
10948,Kai Havertz,3.8,4,4.0,1.3,3.4,9,6.0,1,0
10951,Dale Stephens,-1.2,0,0.0,0.0,0.0,19,0.0,0,0
10952,Dale Stephens,-1.2,0,0.0,0.0,0.0,11,0.0,0,0
10956,Kamil Grosicki,1.8,10,11.5,2.6,1.6,20,13.0,2,0
10957,Kamil Grosicki,1.8,16,23.4,4.6,20.8,19,2.0,5,0
10960,James Ward-Prowse,3.0,9,17.3,2.4,3.0,9,4.0,2,0
10965,Stuart Armstrong,1.7,10,23.5,3.8,10.2,9,4.0,2,0
10966,Jamie Shackleton,0.8,0,0.0,0.0,0.0,3,0.0,0,1
10967,Ayoze Pérez,2.5,3,14.0,2.4,6.0,16,4.0,1,1
10968,Ayoze Pérez,2.5,2,1.0,0.4,3.4,5,0.0,1,1
10971,Taylor Perry,0.5,0,0.0,0.0,0.0,18,0.0,0,1
10972,James McCarthy,-0.4,8,4.7,1.7,12.6,12,0.0,2,0
10976,Conor Hourihane,-1.0,0,0.0,0.0,0.0,12,0.0,0,0
10977,Conor Hourihane,-1.0,0,0.0,0.0,0.0,14,0.0,0,1
10978,Yves Bissouma,1.0,4,1.0,0.5,3.8,10,0.0,1,0
10984,Tomas Soucek,12.2,14,2.0,2.8,22.4,4,4.0,2,1
10985,Tomas Soucek,12.2,9,16.1,3.3,12.6,18,4.0,2,1
10988,Joseph Willock,0.9,0,0.0,0.0,0.0,14,0.0,0,1
10993,Morgan Gibbs-White,1.1,9,33.0,4.2,9.2,18,0.0,1,1
10994,Jake Cain,2.0,0,0.0,0.0,0.0,13,0.0,0,1
10995,Jake Cain,2.0,0,0.0,0.0,0.0,4,0.0,0,1
10996,Jack Harrison,3.8,11,11.5,4.3,11.0,3,20.0,2,1
10998,Sander Berge,0.0,0,0.0,0.0,0.0,17,0.0,0,1
11002,Donny van de Beek,0.5,0,0.0,0.0,0.0,11,0.0,0,0
11003,Donny van de Beek,0.5,0,0.0,0.0,0.0,8,0.0,0,0
11007,Giovani Lo Celso,0.0,0,0.0,0.0,0.0,15,0.0,0,0
11013,Bamidele Alli,0.5,0,0.0,0.0,0.0,15,0.0,0,0
11015,Jairo Riedewald,0.2,4,0.0,0.2,2.2,12,0.0,1,0
