,name,xP,bps,creativity,ict_index,influence,opponent_team,threat,total_points,was_home,GW,Shots on target 
11473,Aleksandar Mitrović,0,4,1.3,2.5,4.2,3,19,1,0,,
11475,Anthony Martial,3.3,7,9.3,3.8,3.6,15,25,2,1,,
11489,Jay Rodriguez,0.5,2,1.8,0.9,5.6,2,2,2,1,,
11501,Joelinton Cássio Apolinário de Lira,1,0,0,0,0,10,0,0,1,,
11507,Ellis Simms,0,0,0,0,0,9,0,0,1,,
11514,Patrick Bamford,1.7,2,1.3,0.6,0,14,8,1,0,,
11515,Karlan Grant,-1,6,1.2,0.8,3,12,4,2,1,,
11517,Callum Robinson,2,1,0.5,0.2,0,12,4,1,1,,
11526,Oliver McBurnie,-0.1,0,0,0,0,13,0,0,0,,
11528,Sergio Agüero,0,0,0,0,0,18,0,0,0,,
11548,Jordan Ayew,2,16,34,6,23.8,19,2,4,1,,
11557,Michail Antonio,6,8,24.8,11,16.2,6,69,5,0,,
11558,Callum Wilson,2.5,17,11.3,5.6,18.2,10,26,5,1,,
11563,Leonardo Campana,-0.5,0,0,0,0,5,0,0,0,,
11566,Keinan Davis,1,3,1.3,0.5,0,4,4,1,0,,
11567,Odion Ighalo,0.5,0,0,0,0,15,0,0,1,,
11575,Olivier Giroud,1.5,5,11.3,7.7,7.2,20,58,2,1,,
11582,Rhian Brewster,0.5,5,0,0.4,4,13,0,1,0,,
11593,Andy Carroll,2,0,0,0,0,10,0,0,1,,
11606,Willian José Da Silva,0,3,0.3,0.6,6,5,0,1,0,,
11609,Indiana Vassilev,0,0,0,0,0,4,0,0,0,,
11611,Wesley Moraes,0,0,0,0,0,4,0,0,0,,
11612,Sébastien Haller,0,0,0,0,0,6,0,0,0,,
11613,Matej Vydra,0.3,2,0.6,0.1,0.2,2,0,1,1,,
11615,Billy Sharp,1.5,-1,1.3,2,1.6,13,17,2,0,,
11619,Rodrigo Moreno,2.7,13,23.1,7.4,21.8,14,29,4,0,,
11625,Islam Slimani,0,0,0,0,0,7,0,0,0,,
11633,Jordan Hugill,0,0,0,0,0,6,0,0,0,,
11634,Alexandre Lacazette,7.3,37,16.1,12.5,52.4,16,56,11,0,,
11640,Tammy Abraham,1.5,3,0.3,0.2,0,20,2,1,1,,
11644,Lewis Richardson,-0.5,0,0,0,0,2,0,0,1,,
11650,Cenk Tosun,-0.2,0,0,0,0,9,0,0,1,,
11656,Divock Origi,1.1,2,0.1,0.2,2.2,17,0,1,0,,
11671,Dwight Gayle,0.3,2,0,0.1,0,10,3,1,1,,
11674,Liam Delap,1.5,0,0,0,0,18,0,0,0,,
11684,Aaron Connolly,0.7,0,1.3,1.9,0,17,18,1,1,,
11695,Raúl Jiménez,0,0,0,0,0,6,0,0,0,,
11699,Jean-Philippe Mateta,0,0,0,0,0,20,0,0,1,,
11707,Neal Maupay,3.5,4,23.6,5.1,4.4,17,23,1,1,,
11708,Moise Kean,0,0,0,0,0,14,0,0,1,,
11726,Niall Huggins,-0.5,0,0,0,0,9,0,0,0,,
11727,Shane Long,0.2,0,0,0,0,2,0,0,1,,
11734,Jamie Vardy,0,0,0,0,0,10,0,0,1,,
11738,Léo Bonatini,0,0,0,0,0,6,0,0,0,,
11747,Kelechi Iheanacho,0.9,0,0,0,0,10,0,0,1,,
11754,Gabriel Fernando de Jesus,3.8,32,16.1,10.9,36.4,15,56,9,1,,
11759,Kenneth Zohore,0,0,0,0,0,8,0,0,1,,
11774,Richarlison de Andrade,1.7,7,14,5.3,14,14,25,2,1,,
