,name,xP,bps,creativity,ict_index,influence,opponent_team,threat,total_points,was_home
472,Arthur Masuaku,0.0,18,16.8,3.1,11.0,1,3.0,1,0
475,Axel Tuanzebe,0.0,0,0.0,0.0,0.0,6,0.0,0,1
476,Aymeric Laporte,0.0,0,0.0,0.0,0.0,20,0.0,0,0
480,Barry Douglas,0.0,0,0.0,0.0,0.0,8,0.0,0,1
481,Benjamin Chilwell,0.0,0,0.0,0.0,0.0,11,0.0,0,1
482,Benjamin Mendy,2.0,11,3.9,2.7,14.6,20,8.0,1,0
483,Ben Davies,2.0,2,2.0,0.6,4.4,16,0.0,1,0
484,Ben Gibson,0.0,0,0.0,0.0,0.0,9,0.0,0,0
485,Ben Johnson,-0.5,0,0.0,0.0,0.0,1,0.0,0,0
486,Ben Mee,0.0,0,0.0,0.0,0.0,9,0.0,0,0
488,Ben White,2.2,21,3.8,1.7,12.8,14,0.0,6,0
490,Bernardo Fernandes da Silva Junior,-0.5,0,0.0,0.0,0.0,14,0.0,0,0
495,Bjorn Engels,0.0,0,0.0,0.0,0.0,15,0.0,0,1
497,Bobby Thomas,-0.5,0,0.0,0.0,0.0,9,0.0,0,0
499,Brandon Williams,0.5,0,0.0,0.0,0.0,6,0.0,0,1
500,Branislav Ivanovic,0.3,0,0.0,0.0,0.0,7,0.0,0,0
507,Calum Chambers,0.0,0,0.0,0.0,0.0,19,0.0,0,1
508,Cameron Carter-Vickers,0.5,0,0.0,0.0,0.0,16,0.0,0,0
509,Cedric Kipre,-0.5,0,0.0,0.0,0.0,7,0.0,0,0
512,Charlie Taylor,2.5,23,29.3,6.1,29.6,9,2.0,3,0
517,Christian Fuchs,0.5,0,0.0,0.0,0.0,4,0.0,0,1
520,Chris Basham,2.0,11,0.8,2.1,16.0,2,4.0,2,0
521,Chris Smalling,0.5,0,0.0,0.0,0.0,6,0.0,0,1
523,Ciaran Clark,0.5,0,0.0,0.0,0.0,3,0.0,0,1
526,Conor Coady,3.5,10,10.0,2.1,10.8,12,0.0,1,1
528,Conor Townsend,-0.5,0,0.0,0.0,0.0,7,0.0,0,0
530,Cyrus Christie,0.0,0,0.0,0.0,0.0,10,0.0,0,0
531,Cédric Soares,0.5,0,0.0,0.0,0.0,19,0.0,0,1
532,César Azpilicueta,0.0,0,0.0,0.0,0.0,11,0.0,0,1
534,Daniel Amartey,0.5,0,0.0,0.0,0.0,4,0.0,0,1
539,Danny Rose,0.5,0,0.0,0.0,0.0,16,0.0,0,0
541,Dan Burn,0.0,4,1.8,0.5,2.8,14,0.0,1,0
542,Dara O'Shea,0.0,11,0.3,2.8,27.8,7,0.0,0,0
543,Darnell Furlong,0.5,5,9.2,1.8,6.6,7,2.0,0,0
547,David Luiz Moreira Marinho,1.0,3,0.0,0.0,0.0,19,0.0,1,1
550,Davinson Sánchez,1.0,8,0.2,1.1,11.2,16,0.0,1,0
552,DeAndre Yedlin,0.5,0,0.0,0.0,0.0,3,0.0,0,1
556,Denis Odoi,0.5,12,0.9,0.7,5.0,10,1.0,0,0
569,Emerson Palmieri dos Santos,-0.5,0,0.0,0.0,0.0,11,0.0,0,1
572,Emil Krafth,0.5,0,0.0,0.0,0.0,3,0.0,0,1
573,Enda Stevens,2.0,11,0.3,1.4,13.2,2,0.0,2,0
574,Eric Bailly,0.5,0,0.0,0.0,0.0,6,0.0,0,1
575,Eric Dier,2.0,13,0.3,1.8,17.8,16,0.0,1,0
576,Eric Garcia,1.0,0,0.0,0.0,0.0,20,0.0,0,0
578,Erik Pieters,-2.5,-3,0.7,1.7,0.0,9,17.0,-2,0
579,Ethan Ampadu,1.0,8,0.3,1.5,13.6,2,1.0,1,0
580,Ezgjan Alioski,0.5,3,1.2,2.6,5.4,8,19.0,1,1
581,Ezri Konsa Ngoyo,14.5,44,0.3,8.0,47.0,15,33.0,15,1
583,Fabian Schär,0.0,0,0.0,0.0,0.0,3,0.0,0,1
586,Fabián Balbuena,-0.5,0,0.0,0.0,0.0,1,0.0,0,0
588,Federico Fernández,4.0,11,0.2,1.0,9.8,3,0.0,1,1
590,Fernando Luiz Rosa,3.0,11,4.8,2.4,15.4,20,4.0,2,0
591,Fernando Marçal,2.0,3,0.3,0.4,3.2,12,0.0,1,1
